Analog 7 (V),Error (V),High Gain (mV),Error High Gain (V),Voltage 10kOhm,Current 1Ohm (mA)
0.0001,0.0004,-0.00362,0.00018,0.0001,0.00035
0.3082,0.0013,0.02482,0.00022,0.30817,0.0262
0.6293,0.0017,0.05476,0.00022,0.62924,0.05342
1.0533,0.0023,0.09411,0.00019,1.0532,0.08919
1.3614,0.0031,0.12288,0.0002,1.36127,0.11535
1.6823,0.0037,0.15287,0.00018,1.68214,0.14261
2.3121,0.0048,0.21206,0.00018,2.31188,0.19642
2.6333,0.0041,0.24181,0.00019,2.63305,0.22346
2.9539,0.0061,0.27148,0.00017,2.95362,0.25044
3.2752,0.0059,0.30155,0.00021,3.27489,0.27777
