Analog 7 (V),Error 7 (V),Analog 8 (V),Error 8 (V),High Gain (mV),Error High Gain (V),Red LED Voltage,Current 1Ohm (mA)
0.0001,0.00037,0.0,0.0,0.00145,0.00019,0.0001,3e-05
0.3095,0.0014,0.0,0.0,7e-05,0.00125,0.3095,-0.00123
0.6318,0.0018,0.0,9.5e-05,4e-05,0.00135,0.6318,-0.00125
0.9544,0.0021,0.0,0.0,0.00138,0.00021,0.9544,-4e-05
1.2641,0.0025,0.0,0.0,0.00131,0.0002,1.2641,-0.0001
1.9021,0.004,0.1553,0.0021,0.147875,0.0002,1.7468,0.13314
2.5134,0.0053,0.7051,0.0036,0.66993,0.00019,1.8083,0.60774
2.7128,0.0054,0.8938,0.0039,0.84904,0.00022,1.819,0.77056
3.0245,0.0059,1.192,0.0049,1.07012,1.8e-05,1.8325,0.97155
3.197,0.0065,1.3579,0.0044,1.07041,0.00017,1.8391,0.97181
